"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Date.c", "C", 120, 0, 4, 45, 169
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\DisplayBoard.c", "C", 185, 0, 1, 69, 255
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\Date.h", "C++", 0, 16, 0, 6, 22
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\DisplayBoard.h", "C++", 0, 6, 1, 4, 11
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\Keypad.h", "C++", 0, 9, 0, 2, 11
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\light.h", "C++", 0, 8, 1, 5, 14
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\main.h", "C++", 0, 5, 0, 0, 5
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\menu.h", "C++", 0, 21, 0, 6, 27
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\pio.h", "C++", 0, 14, 0, 5, 19
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Headers\temp.h", "C++", 0, 26, 1, 14, 41
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\Keypad.c", "C", 29, 0, 2, 7, 38
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\light.c", "C", 105, 0, 32, 48, 185
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\main.c", "C", 96, 0, 1, 30, 127
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\menu.c", "C", 332, 0, 3, 78, 413
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\pio.c", "C", 52, 0, 1, 13, 66
"c:\Users\tomas\OneDrive\Skrivbord\Git\Hardware\Project\src\temp.c", "C", 178, 0, 8, 51, 237
"Total", "-", 1097, 105, 55, 383, 1640
